Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
03/10/21,178.58,3314829,-0.60,-0.33,-0.33,208.25,151.00,179.97,181.63,178.09,115.23
03/09/21,179.18,3752363,2.31,1.31,1.31,208.95,151.84,178.32,180.74,177.20,115.96
03/08/21,176.87,4558581,4.26,2.47,2.47,206.26,148.59,175.27,178.47,173.60,113.17
03/05/21,172.61,6008115,2.79,1.64,1.64,201.29,142.61,170.28,174.98,167.05,108.04
03/04/21,169.82,7111686,-3.79,-2.18,-2.18,198.04,138.68,172.37,174.61,166.83,104.68
03/03/21,173.61,8285311,0.12,0.07,0.07,202.46,144.01,175.00,176.87,172.59,109.24
03/02/21,173.49,22090540,-12.60,-6.77,-6.77,202.32,143.84,188.01,193.58,172.17,109.10
03/01/21,186.09,3683533,2.65,1.44,1.44,217.01,161.55,185.95,187.58,184.85,124.29
02/26/21,183.44,4340375,-1.64,-0.89,-0.89,213.92,157.83,186.15,186.83,182.18,121.09
02/25/21,185.08,4355641,-2.00,-1.07,-1.07,215.83,160.13,188.52,190.30,184.58,123.07
02/24/21,187.08,3738358,0.72,0.39,0.39,218.16,162.94,186.02,187.73,184.30,125.48
02/23/21,186.36,2828116,-2.63,-1.39,-1.39,217.32,161.93,188.09,188.73,184.11,124.61
02/22/21,188.99,2152618,0.17,0.09,0.09,220.39,165.63,188.12,190.41,187.62,127.78
02/19/21,188.82,3120052,-2.59,-1.35,-1.35,220.19,165.39,191.95,192.45,188.36,127.58
02/18/21,191.41,2983459,-2.19,-1.13,-1.13,223.21,169.03,188.27,191.56,188.00,130.70
02/17/21,193.60,3721565,3.01,1.58,1.58,225.77,172.11,189.20,194.22,189.10,133.34
02/16/21,190.59,2500270,-0.84,-0.44,-0.08,222.26,167.88,191.14,192.58,190.15,129.71
02/12/21,191.43,1821753,1.02,0.54,0.54,222.44,168.10,191.05,191.87,190.20,130.72
02/11/21,190.41,1862266,-2.03,-1.05,-1.05,221.26,166.67,192.04,193.17,190.34,129.49
02/10/21,192.44,2713545,-1.85,-0.95,-0.95,223.62,169.52,193.89,194.45,190.12,131.94
02/09/21,194.29,2868934,0.34,0.18,0.18,225.77,172.11,194.13,196.25,193.89,134.17
02/08/21,193.95,3076353,5.09,2.70,2.70,225.37,171.63,192.34,194.48,190.49,133.76
02/05/21,188.86,2218864,0.27,0.14,0.14,219.46,164.50,189.49,190.33,187.89,127.62
02/04/21,188.59,2309456,3.48,1.88,1.88,219.14,164.12,185.87,188.74,184.55,127.30
02/03/21,185.11,2135438,-0.48,-0.26,-0.26,215.10,159.25,185.19,186.93,183.70,123.10
02/02/21,185.59,2920489,2.02,1.10,1.10,215.66,159.92,185.50,189.04,185.18,123.68
02/01/21,183.57,2637302,2.40,1.32,1.32,213.31,157.09,182.18,185.00,179.68,121.25
01/29/21,181.17,3612280,-2.41,-1.31,-1.31,210.52,153.73,182.12,183.50,180.26,118.36
01/28/21,183.58,3965207,5.30,2.97,2.97,213.32,157.11,177.93,185.42,177.76,121.26
